investire,to invest
il profitto,profit
il socio,business partner
andare in pensione,to retire
la carriera,career
il colloquio di lavoro,job interview
la crisi,crisis
guadagnare,earn
non profit,not-for-profit
la banca,bank
il bancomat,ATM card
cambiare i soldi,to change money
il conto,account
firmare,to sign
prelevare,to withdraw
fare un numero di telefono,to dial a telephone number
il numero verde,800 number
la segreteria telefonica,answering machine
il pacco,package
la posta,mail
spedire,to send
