to live, to dwell	abitare
now	adesso
that, which, who	che
to be married	essere sposato (-a)
liberty	libertà
excellent	ottimo (óh-teeh-moh)
for, through	per
someone	qualcuno
near	vicino
from (for)	da
brother	fratello
next	prossimo
to know	sapere
sure	sicuro
often	spesso
to stay, to be	stare
everyone	tutti
to see	vedere
to come	venire
he/she will come	verrà
time (occurrence)	volta
to go	andare
to cross	attraversare
to tell, to say	dire
straight ahead	diritto
to have to, must	dovere
to turn	girare
there	lì
then	poi
traffic lights	semaforo
road, street	strada
to go there	andarci
automatic teller	bancomat (m.)
church	chiesa
in front	davanti
to do, to make	fare
to be able to, can	potere
just, right	proprio
a bit	un po’
traffic policeman	vigile (m.)
it doesn’t matter	non importa
to speak	parlare
more	più
Hello!	Pronto!
to phone	telefonare
to want	volere
cell phone	cellulare
to call	chiamare
fine, I agree	d’accordo
device	dispositivo
to send	mandare
to send me	mandarmi 
better	meglio
text, message	messaggino
mobile	mobile
text message	SMS
