architect	architetto
lawyer	avvocato
good (at something)	bravo
advice	consiglio
dentist	dentista (m./f.)
to become	diventare
impossible	impossibile
toothache	mal di denti
medical doctor	medico
or	o
barber	barbiere (m.)
electrician	elettricista (m./f.)
office worker	impiegato (-a)
teacher	insegnante (m./f.)
mechanic	meccanico
rather	piuttosto
practical	pratico
to prefer	preferire (isc)
something	qualcosa
that which, whatever	quello che
school	scuola
according to	secondo
bank	banca
to search for, to look for	cercare
to create	creare
company (business)	ditta
diverse, various, several	diverso
experience	esperienza
ago	fa
computer, informatics	informatica
interview	intervista
degree	laurea
to work	lavorare
work, job	lavoro
ever, never	mai
mathematics	matematica
moment	momento
program	programma (m.)
official	ufficiale
university	università (f.)
downtown, center of town	centro
again	di nuovo
question	domanda
address	indirizzo
number	numero
next	prossimo
which, what	quale
series	serie
week	settimana
marital status	stato civile
bathroom	bagno
bedroom	camera 
kitchen	cucina
exceptional	eccezionale
entrance	entrata
garage 	garage (m.)
magnificent 	magnifico 
however 	però
dining room 	sala da pranzo
living room	salotto
condo	condominio
to be better to	convenire
sofa	divano
refrigerator	frigorifero
already	già
bed	letto
piece of furniture	mobile
armchair	poltrona
to remain	rimanere
many, a lot	tanto
to remainmany	tavolo
