northern	settentrionale
central	centrale
southern	meridionale
eastern	orientale
western	occidentale
Monday	lunedì (m.)
Tuesday	martedì (m.)
Wednesday	mercoledì (m.)
Thursday	giovedì (m.)
Friday	venerdì (m.)
Saturday	sabato (m.)
Sunday	domenica (f.)
biology	la biologia
chemistry	la chimica
physics	la fisica
French	il francese
geography	la geografia
Italian	l’italiano
language	la lingua
math	la matematica
music	la musica
science	la scienza
Spanish	lo spagnolo
history	la storia
last week	la settimana scorsa
next month	il mese prossimo
today	oggi
yesterday	ieri
tomorrow	domani
week	la settimana
month	il mese
year	l’anno
