tall<br><br>short	alto<br><br>basso
beautiful<br><br>ugly	bello<br><br>brutto
big<br><br>small	grande<br><br>piccolo
skinny<br><br>fat	magro<br><br>grasso
new<br><br>old	nuovo<br><br>vecchio
rich<br><br>poor	ricco<br><br>povero
orange	arancione (invar.)
dark blue	blu (invar.)
brown	marrone (invar.)
pink	rosa (invar.)
violet, purple	viola (invar.)
blue	azzurro
white	bianco
sky blue	celeste
yellow	giallo
gray	grigio
black	nero
red	rosso
beautiful	bello
ugly	brutto
good	buono
dear; expensive	caro
bad	cattivo
young	giovane
big, large; great	grande
new	nuovo
poor	povero
nice, charming	simpatico
old	vecchio
