to go	andare | andrò, andrai, andrà, ecc.
to have	avere | avrò, avrai, avrà, ecc.
to drink	bere | berrò, berrai, berrà, ecc.
to fall	Cadere | cadrò, cadrai, cadrà, ecc.
to give	dare | darò, darai, darà, ecc.
to have to	dovere | dovrò, dovrai, dovrà, ecc.
to be	essere | sarò, sarai, sarà, ecc.
to do, make	fare | farò, farai, farà, ecc.
to put	porre | porrò, porrai, porrà, ecc.
to be able to	potere | potrò, potrai, potrà, ecc.
to remain	rimanere | rimarrò, rimarrai, rimarrà, ecc.
to know	sapere | saprò, saprai, saprà, ecc.
to keep	tenere | terrò, terrai, terrà, ecc.
to see	vedere | vedrò, vedrai, vedrà, ecc.
to come	venire | verrò, verrai, verrà, ecc.
to live	vivere | vivrò, vivrai, vivrà, ecc.
