continuously	continuamente
constantly	costantemente
frequently	di frequente
usually	di solito
from time to time	di tanto in tanto
on Sundays (on Mondays, etc.)	la domenica (il lunedi, ecc.)
while	mentre
every day	ogni giorno
each day, each night	ogni giorno, ogni notte
once in a while	ogni tanto
sometime	qualche volta
when	quando
always	sempre
often	spesso
every day	tutti i giorni
afterwards	dopodichè
to get up	alzarsi
newspaper	giornale
pool	piscina
postcards	cartoline
shining	splendeva
shower	doccia
unforgettable	indimenticabile
appointment/date	appuntamento
mood	umore
soccer	calcio
spring	primaverile
thunder	tuonare
weather	tempo
