yesterday	ieri
yesterday afternoon	ieri pomeriggio
last night	ieri sera
the other day	l’altro giorno
last week	la settimana scorsa
last month, year	il mese/l’anno scorso
last summer, winter	l’estate/l’inverno scorso
a little while ago	poco fa
for a long time	per molto tempo
all of a sudden	all’improvviso
to ask	chiedere<br><br><strong>chiesi</strong>, chiedesti, <strong>chiese</strong>, chiedemmo, chiedeste, <strong>chiesero</strong>
to gather	cogliere<br><br><strong>colsi</strong>, cogliesti, <strong>colse</strong>, cogliemmo, coglieste, <strong>colsero</strong>
to conclude	concludere<br><br><strong>conclusi</strong>, concludesti, <strong>concluse</strong>, concludemmo, concludeste, <strong>conclusero</strong>
to decide	decidere<br><br><strong>decisi</strong>, decidesti, <strong>decise</strong>, decidemmo, decideste, <strong>decisero</strong>
to divide	dividere<br><br><strong>divisi</strong>, dividesti, <strong>divise</strong>, dividemmo, divideste, <strong>divisero</strong>
to put	mettere<br><br><strong>misi</strong>, mettesti, <strong>mise</strong>, mettemmo, metteste, <strong>misero</strong>
to take	prendere<br><br><strong>presi</strong>, prendesti, <strong>prese</strong>, prendemmo, prendeste, <strong>presero</strong>
to laugh	ridere<br><br><strong>risi</strong>, ridesti, <strong>rise</strong>, ridemmo, rideste, <strong>risero</strong>
to stay	rimanere<br><br><strong>rimasi</strong>, rimanesti, <strong>rimase</strong>, rimanemmo, rimaneste, <strong>rimasero
to descend	scendere<br><br><strong>scesi</strong>, scendesti, <strong>scese</strong>, scendemmo, scendeste, <strong>scesero</strong>
to turn off	spegnere<br><br><strong>spensi</strong>, spegnesti, <strong>spense</strong>, spegnemmo, spegneste, <strong>spensero</strong>
to spend	spendere<br><br><strong>spesi</strong>, spendesti, <strong>spese</strong>, spendemmo, spendeste, <strong>spesero</strong>
to win	vincere<br><br><strong>vinsi</strong>, vincesti, <strong>vinse</strong>, vincemmo, vinceste, <strong>vinsero</strong>
to discuss	discutere<br><br><strong>discussi</strong>, discutesti, <strong>discusse</strong>, discutemmo, discuteste, <strong>discussero</strong>
to read	leggere<br><br><strong>lessi</strong>, leggesti, <strong>lesse</strong>, leggemmo, leggeste, <strong>lessero
to write	scrivere<br><br><strong>scrissi</strong>, scrivesti, <strong>scrisse</strong>, scrivemmo, scriveste, <strong>scrissero</strong>
to live	vivere<br><br><strong>vissi</strong>, vincesti, <strong>visse</strong>, vincemmo, vinceste, <strong>vissero</strong>
to fall	cadere<br><br><strong>caddi</strong>, cadesti, <strong>cadde</strong>, cademmo, cadeste, <strong>caddero</strong>
to know	conoscere<br><br><strong>conobbi</strong>, conoscesti, <strong>conobbe</strong>, conoscemmo, conosceste, <strong>conobbero</strong>
to break	rompere<br><br><strong>ruppi</strong>, rompesti, <strong>ruppe</strong>, rompemmo, rompeste, <strong>ruppero</strong>
to know	sapere<br><br><strong>seppi</strong>, sapesti, <strong>seppe</strong>, sapemmo, sapeste, <strong>seppero</strong>
to keep	tenere<br><br><strong>tenni</strong>, tenesti, <strong>tenne</strong>, tenemmo, teneste, <strong>tennero</strong>
to want	volere<br><br><strong>volli</strong>, volesti, <strong>volle</strong>, volemmo, voleste, <strong>vollero</strong>
to drink	bere<br><br><strong>bevvi</strong>, bevesti, <strong>bevve</strong>, bevemmo, beveste, <strong>bevvero</strong>
allowed	permettere
to gather	riunirsi
programs	programmi
sacrifices	sacrifice
variety show	programmi di varietà
