to wish	desiderare
to hope	sperare
to prefer	preferire
to want	volere
to get angry	arrabbiarsi
to be afraid	avere paura
to be sorry	dispiacersi
to be happy, sad	essere contento, triste
to fear	temere
to demand	esigere
to order	ordinare
to demand, to claim	pretendere
to request, to demand	richiedere
to let	lasciare
to allow, to permit	consentire
to prevent	impedire
to allow	permettere
to forbid	proibire
It is necessary that . . .	È necessario che...
It is enough that . . .	Basta che...
It is probable that . . .	È probabile che...
It is a pity that . . .	È peccato che...
It is opportune that . . .	È opportuno che...
It is rare that . . .	È raro che...
It is improbable that . . .	È improbabile che...
It is possible that . . .	È facile che...
It is good that . . .	È bene che...
It is difficult that . . .	È difficile che...
It is necessary that . . .	È necessario che...
It is better that . . .	È meglio che...
It is necessary that . . .	Bisogna che...
It is right that . . .	È giusto che...
It is important that . . .	È importante che...
It is possible that . . .	È possibile che...
It is impossible that . . .	È impossibile che...
It is preferable that . . .	È preferibile che...
It is not important that . . .	Non importa che...
It is certain that . . .	È certo che...
It is obvious that . . .	È evidente che...
It is obvious that . . .	È ovvio che...
It is clear that . . .	È chiaro che...
unless	a meno che
provided that	a patto che
in order that	affinché
although	benché
so that	cosí che
after	dopo che
until	finché non
although	malgrado
although	nonostante che
before	prima che
provided that	purché
although, even if	sebbene
without	senza che
whoever	chiunque
wherever	dovunque
wherever	ovunque
whatever	qualunque
increases (n.)	aumenti
to wish, want	avere voglia
justify	giustificare
workers	lavoratori
merchandise	merci
to obtain	ottenere
strike	sciopero
unions	sindacati
to hire	assumere
blouse	camicetta
skirt	gonna
island	isola
fashion	moda
brochures	opuscoli
pool	piscina
silk	seta
beach	spiaggia
shop windows	vetrine
key	chiave
desperate	disperata
nothing	niente
to be needed	occorreva
presentation	presentazione
extensions, cables	prolunghe
extra	riserva
to joke	scherzare
expect	aspettarsi
wonderful	meravigliose
guests	ospiti
runs	piste
ski resort	località sciistica
