because	dal momento che
since, because	dato che
since	giacchè
because	perchè
since, because	poichè
since, because	siccome
even if	anche se
rather than	piuttosto che
even	sebbene
as . . . as	così… come
better . . . than	meglio… che
less/fewer than	meno… di
more . . . than	più… che
rather than	piuttosto che
as much . . . as	tanto… quanto
unless	a meno che
on condition that	a patto che
even if	anche se
as long as	purchè
when	qualora
if	se
on the contrary	al contrario
though, although	anche se
while, instead	invece
but	ma
except, unless	salvo che
how	come
why	perchè
when	quando
how much	quanto
if	se
where	dove
anywhere	ovunque
so that	affinchè
unless	a meno che
so	così
so that	così che
in order that	in modo che
as	come
anyhow	comunque
because	dato che
because, why	perchè
though, although	quantunque
since	siccome
as	come
as if	come se
whichever way	comunque
in the way which	nel modo che
almost	quasi
so that	affinchè
unless	a meno che
so	così
so that	così che
in order that	in modo che
when	allorchè
as soon as	appena
as soon as	come
since	da quando
after	dopo che
until	fino a che
while	mentre
every time that	ogni volta che
before	prima che
when	quando
once	una volta che
