red	rosso
green	verde
yellow	giallo
black	nero
purplish	violaceo
long	lungo
large	largo
narrow, tight	stretto
big	grande
wide	vasto
small	piccolo
tall	alto
stocky	robusto
florid	orido
solid	solido
liquid	liquid
slender	longilineo
bronze	bronzeo
marble	marmoreo
wooden	ligneo
happy	felice
sad	triste
curious	curioso
anxious	ansioso
melancholic	malinconico
tired	stanco
rested	riposato
relaxed	rilassato
new	nuovo
warm	caldo
cold	freddo
sweet	dolce
spicy	piccante
rocky	roccioso
dangerous	pericoloso
square	quadrato
round	rotondo
triangular	triangolare
daily	quotidiano
daytime	diuron
nighttime	notturno
evening time	serale
wintertime	invernale
summertime	estivo
the beautiful	i belli
good manners	le buone
bad manners	le cattive
the weak	i deboli
sweets	i dolci
the future	il futuro
the young	le giovani
the impossible	l’impossibile
the World Cup	i mondiali
the possible	il possibile
the poor	i poveri
the daily (newspaper)	il quotidiano
the rich	i ricchi
salty snacks	i salatini
the studious	gli studiosi
the fearless	i temerari
the shy	i timidi
the old	i vecchi
very happy	arcicontento
hyperactive	iperattivo
overly critical	ipercritico
overly sensitive	ipersensibile
very big	stragrande
very loaded	stracarico
very full	strapieno
overcrowded	superaffollato
very convenient	superconveniente
good	POSITIVE | COMPARATIVE OF MAJORITY / ABSOLUTE SUPERLATIVE / RELATIVE SUPERLATIVE<br><br>buono | più buono/migliore buonissimo/ottimo il migliore di…
bad	cattivo | più cattivo/peggiore cattivissimo/pessimo il peggiore di…
big	grande | più grande/maggiore grandissimo/massimo il maggiore di…
small	piccolo | più piccolo/minore piccolissimo/minimo il minore di…
sour	acre | acerrimo
intact	integro | integerrimo
sour	aspro | asperrimo
miserable	misero | miserrimo
famous	celebre | celeberrimo
healthy	salubre | saluberrimo
beneficial	benefico | beneficentissimo
benevolent	benevolo | benevolentissimo
malevolent	malevolo | malevolentissimo
cursed	maledico | maledicentissimo
evil	malefico | maleficentissimo
munificent	munifico | munificentissimo
