apple tree	il melo 
orange tree	l’arancio (f.)
pear tree	il pero
oak tree	la quercia 
palm tree	la palma
gold	l’oro (m.)
silver	l’argento (m.)
oxygen	l’ossigeno (m.)
Mont Blanc	il Monte Bianco 
Arno river	l’Arno (f.)
Mediterranean sea	il Mediterraneo
apple	la mela 
orange	l’arancia (f.)
pear	la pera
lemon	il limone 
fig	il fico 
grapefruit	il pompelmo
physics 	la fisica 
chemistry	la chimica 
mathematics	la matematica 
music	la musica
Europe	l’Europa (f.)
Italy	l’Italia  (f.)
Tuscany	la Toscana 
ancient Rome	la Roma antica
age	l’età (f.)
city	la città 
university	l’università (f.)
youth	la gioventù
station	la stazione 
writer	la scrittrice 
species	la specie 
origin	l’origine
analysis	l’analisi (f.)
crisis	la crisi 
thesis	la tesi 
metropolis	la metropoli 
diagnosis	la diagnosi
problem	il problema
system	il sistema 
melodrama	il melodramma 
poem	il poema
soap	il sapone 
color	il colore 
newspaper	il giornale 
bell tower	il campanile
car	l’automobile (f.)
nation	nazione  (f.)
situation	situazione (f.)
illustration	illustrazione (f.)
doctor	dottore (m.)
tractor	trattore  (m.)
actor	attore  (m.)
promotor	promotore  (m.)
prince/princess	principe | principessa 
professor	professore | professoressa 
student	studente | studentessa 
writer	scrittore | scrittrice 
director	direttore | direttrice 
actor/actress	attore | attrice 
god | goddess	dio | dea
king | queen	re | regina
dog | female dog	cane | cagna
rooster | hen	gallo | gallina
father | mother	padre | madre
brother | sister	fratello | sorella
husband | wife	marito | moglie
son-in-law | daughter-in-law	genero | nuora
male | female	maschio | femmina
man | woman	uomo | donna
nephew / niece, grandson / granddaughter	il nipote | la nipote 
relative	il parente | la parente 
pianist	il pianista | la pianista 
artist	l’artista | l’artista 
socialist	il socialista | la socialista 
colleague	il collega | la collega 
athlete	l’atleta | l’atleta 
roadrunner	il maratoneta | la maratoneta 
singer	il cantante | la cantante 
lover	l’amante | l’amante 
teacher	l’insegnante | l’insegnante 
president	il presidente | la presidente 
executive	il dirigente | la dirigente 
case | house	il caso | la casa
hit | fault	il colpo | la colpa
thread | line, cue	il filo | la fila
way | fashion	il modo | la moda
gold | hour	l’oro | l’ora
seaport | door	il porto \ la porta
lawyer | soprano	l’avvocato | il soprano
physician | mezzo-soprano	il medico | il mezzosoprano
engineer | alto	l’ingegnere | il contralto
architect | teacher	l’architetto | il maestro
the president	il/la presidente 
the acquaintance	il/la conoscente 
the superintendent	il/la sovrintendente 
