blue shoes	scarpe blu 
purple flowers	fiori viola 
chic restaurant	ristorante chic
dark green gloves	guanti verde bottiglia
bright red shoes	scarpe rosso fiamma
pale pink flower	fiore rosa pallido
little	poco 
much	molto 
too much	troppo 
all other	tutto altro
the small child	il piccolo bambino 
the rich banker	il ricco banchiere 
the good singer	la brava cantante
a good job	un buon lavoro 
a terrible ordeal	un brutto affare 
a good idea	una buon’idea
a big man	un uomo grande 
a great man	un grand’uomo
an expensive product	un prodotto caro 
a dear friend	un caro amico
