Where are you?	Dove siete? 
here	qui, qua 
down	giù 
near	vicino 
inside	dentro 
in front of	davanti 
above	sopra 
We’re over here!	Siamo qui! 
there	lì, là 
up there	su 
far	lontano 
outside	fuori 
behind	dietro 
beneath	sotto 
When are we going?	Quando andiamo? 
today	oggi 
yesterday	ieri 
now	ora, adesso 
before	prima 
always	sempre 
soon	presto 
Tomorrow night.	Domani sera. 
tomorrow	domani 
the day after tomorrow	dopodomani 
in a little while	fra poco 
later	dopo 
never	mai 
late	tardi 
How much does it cost?	Quanto costa? 
a lot	molto, tanto 
more	più 
rather, enough	abbastanza, piuttosto
almost	quasi 
It costs a lot.	Costa molto.
a little	un po’, un poco, poco
less	meno
too much	troppo
exactly	esattamente 
precisely	precisamente 
right	appunto 
really	davvero
