to love	amare 
to listen	ascoltare 
to drink	bere
to call	chiamare
to know	conoscere
to look at	guardare
to invite	invitare
to eat	mangiare
to lose	perdere
to take	prendere
to hear	sentire
to study	studiare
to find	trovare
to see	vedere
to be missing	mancare a
to seem to	parere a
to be pleasing to	piacere a
to answer	rispondere a
to seem to	sembrare a
to ask	chiedere
to give	dare
to say	dire
to do	fare
to read	leggere
to send	mandare
to offer	offrire
to bring	portare
to give a gift	regalare
to write	scrivere
to sell	vendere
to ask	chiedere a
to tell	dire a
to answer	rispondere a
to phone	telefonare a
to please	piacere a
to listen to	ascoltare
to wait for	aspettare
against	contro
behind	dietro
after	dopo
in / between	fra / tra
without	senza
above	sopra
underneath	sotto
on	su
